DefaultSC.Earth.OrbitPeriod   
5544.855098067414             
DefaultSC.A1Gregorian      DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   Sun.EarthMJ2000Eq.X       Sun.EarthMJ2000Eq.Y       Sun.EarthMJ2000Eq.Z       
01 Jan 2000 12:31:48.058   -3568.112623019389          3698.962800222904           4408.25220603799            -6.520818826070704           -2.598936794168171           -3.097292261375197           26556839.24458582         -132747671.1449933        -57552492.20479888        
01 Jan 2000 12:33:19.094   -4141.717119480879          3443.123514648699           4103.354818328195           -6.069805469104788           -3.016738020939057           -3.595208374369669           26559551.37852132         -132747213.3208624        -57552293.73233745        
01 Jan 2000 12:34:50.130   -4671.292022169214          3150.673931114511           3754.826976498645           -5.554252636329343           -3.40246903486093            -4.054904695986068           26562263.53053244         -132746755.446128         -57552095.23796174        
01 Jan 2000 12:36:21.165   -5151.197126018486          2824.728608993241           3366.380467871345           -4.979650914833415           -3.752021631395105           -4.471485258706307           26564975.65114678         -132746297.529142         -57551896.72529241        
01 Jan 2000 12:37:52.201   -5576.333657266264          2468.751648944007           2942.143646851905           -4.352107090225135           -4.061681972965146           -4.840524083256354           26567687.75606731         -132745839.5672539        -57551698.1931804         
01 Jan 2000 12:39:23.236   -5942.181985266579          2086.528012700821           2486.627255184666           -3.678293586928351           -4.32815805743355            -5.158097914262012           26570399.84515266         -132745381.5604879        -57551499.64163619        
01 Jan 2000 12:40:54.270   -6244.851795907679          1682.123353721476           2004.676549984194           -2.965377654531595           -4.548616263344349           -5.420829773173081           26573111.90723053         -132744923.5107313        -57551301.07147797        
01 Jan 2000 12:42:25.305   -6481.130023739145          1259.830036307375           1501.406971827412           -2.220926206101219           -4.720716262657653           -5.625930565640173           26575823.99007572         -132744465.4099149        -57551102.47920765        
01 Jan 2000 12:43:56.341   -6648.500670511607          824.1429174408287           982.1752826711851           -1.452863124523793           -4.842625456149399           -5.771216284954224           26578536.05954558         -132744007.263805         -57550903.86732499        
01 Jan 2000 12:45:27.376   -6745.184954309191          379.6916170969041           452.4988487531444           -0.6693498633530416          -4.913048217179299           -5.85514286341201            26581248.13168914         -132743549.0696903        -57550705.23465461        
01 Jan 2000 12:46:58.412   -6770.15404058239           -68.79709526390381          -81.98918544079979          0.1212808612013395           -4.931235164702438           -5.876817223461035           26583960.19789041         -132743090.829026         -57550506.58182732        
01 Jan 2000 12:48:29.447   -6723.142877734851          -516.5512763174706          -615.601839310467           0.9106166969353766           -4.896993240814301           -5.836009287650013           26586672.23638651         -132742632.5454896        -57550307.9104374         
01 Jan 2000 12:50:00.483   -6604.651112339221          -958.8152070771442          -1142.671467668146          1.690273893166915            -4.810686377374379           -5.733152773079951           26589384.27632662         -132742174.2141556        -57550109.21834957        
